image,GT数,漏检FN,误检FP,漏检类,误检类
26112.jpg,3,1,1,ph4,ph4.5
26127.jpg,4,0,2,,io pl40
26206.jpg,2,1,1,pl60,pl40
26234.jpg,3,2,0,i5 p26,
26515.jpg,2,1,1,pl30,pl5
26582.jpg,5,2,0,pl50 pn,
26615.jpg,3,0,2,,i5 p26
26710.jpg,2,0,2,,w59 pl60
26724.jpg,3,1,1,pl50,pm55
2706.jpg,1,1,1,pl60,pl40
27121.jpg,1,1,1,pne,io
27169.jpg,4,1,1,p5,pl80
27663.jpg,2,2,0,pl5 p11,
28195.jpg,2,1,1,w55,pl50
28197.jpg,2,0,2,,io io
28256.jpg,2,1,1,pl60,w59
28530.jpg,2,0,2,,io io
28661.jpg,1,0,2,,pl80 wo
29071.jpg,5,1,1,wo,w57
29082.jpg,1,1,1,pl100,pl40
29507.jpg,4,0,2,,pn pl40
29550.jpg,2,0,2,,p11 pn
29614.jpg,4,0,2,,io p12
29859.jpg,1,0,2,,w13 w57
29959.jpg,2,1,1,p11,p12
30029.jpg,8,1,1,pl50,ip
30077.jpg,2,2,0,wo pl80,
3027.jpg,2,0,2,,io io
30838.jpg,6,0,2,,il80 il60
3097.jpg,3,1,1,pl30,pl80
31007.jpg,2,1,1,p26,p23
31158.jpg,3,0,2,,po po
31262.jpg,2,0,2,,p10 po
31336.jpg,2,1,1,w13,pl70
31728.jpg,12,1,1,il60,il80
3174.jpg,4,0,2,,il60 il80
31765.jpg,5,1,1,pl50,pl40
31801.jpg,9,1,1,il60,il100
31816.jpg,2,1,1,pl30,pl80
31912.jpg,1,1,1,wo,pn
31990.jpg,3,2,0,pl5 po,
31998.jpg,3,2,0,p19 pl20,
32067.jpg,5,0,2,,ph4.5 pl30
32162.jpg,3,1,1,p11,pn
32277.jpg,4,1,1,po,pn
32521.jpg,4,1,1,pl80,pl100
32691.jpg,1,0,2,,pn pne
32942.jpg,1,0,2,,ph4.5 w57
32960.jpg,2,1,1,p11,po
32990.jpg,1,1,1,pl5,p10
33024.jpg,3,1,1,pl80,pl40
33106.jpg,5,0,2,,il80 pl80
34136.jpg,1,1,1,p27,po
34441.jpg,1,0,2,,wo pl5
3447.jpg,1,1,1,w55,w32
34605.jpg,5,1,1,po,pn
34729.jpg,1,1,1,pl60,pl40
34867.jpg,7,0,2,,io io
35089.jpg,6,2,0,po wo,
35157.jpg,2,1,1,p19,po
35422.jpg,4,1,1,pn,pl30
35603.jpg,1,1,1,pl30,pm30
36091.jpg,6,0,2,,pl80 il60
36185.jpg,6,0,2,,pl60 w59
36213.jpg,1,1,1,pl30,pm30
36302.jpg,1,1,1,pl30,pl40
36325.jpg,1,1,1,po,pl5
36465.jpg,4,1,1,pl50,i5
36477.jpg,4,1,1,p3,p11
36541.jpg,2,1,1,pl80,pn
36786.jpg,5,1,1,il80,il60
36793.jpg,1,1,1,p3,p26
37040.jpg,5,1,1,po,pn
37304.jpg,3,1,1,p10,po
37635.jpg,2,1,1,p12,pl30
37789.jpg,6,0,2,,pl40 i5
37910.jpg,1,0,2,,pn po
38142.jpg,3,0,2,,pl100 pl80
38167.jpg,4,1,1,p26,p10
38177.jpg,3,1,1,po,p10
38254.jpg,1,1,1,pm20,pl40
38365.jpg,2,1,1,i4,pne
38527.jpg,4,1,1,i5,ph4.5
38530.jpg,2,1,1,w13,w57
38609.jpg,1,1,1,p26,w59
38747.jpg,2,2,0,i5 io,
38990.jpg,1,1,1,p3,pn
39049.jpg,1,1,1,p11,po
39382.jpg,5,1,1,pl80,pl30
39591.jpg,5,1,1,pl50,pne
39610.jpg,4,1,1,p11,pm30
40043.jpg,4,0,2,,pn i2
40402.jpg,1,1,1,p23,pn
40588.jpg,9,0,2,,i2 i2
40879.jpg,9,0,2,,io io
4107.jpg,3,2,0,p26 pn,
41097.jpg,6,0,2,,io pl40
41129.jpg,6,2,0,w55 po,
41321.jpg,5,1,1,p11,po
41462.jpg,3,2,0,p5 i5,
41464.jpg,1,0,2,,w59 pn
42040.jpg,1,1,1,pl30,pl60
42223.jpg,2,0,2,,i2 i4
4232.jpg,1,0,2,,w59 w59
4233.jpg,5,1,1,pl30,pl60
42664.jpg,2,1,1,pl30,pn
42709.jpg,2,1,1,pl60,pn
42791.jpg,2,0,2,,io i2
42829.jpg,2,1,1,w55,pn
42891.jpg,3,2,0,pne pl50,
43136.jpg,2,1,1,w55,wo
43380.jpg,1,0,2,,pm20 pl70
44151.jpg,3,1,1,w55,pl50
4442.jpg,1,1,1,pm20,pl40
44678.jpg,1,1,1,pl60,pl80
44966.jpg,3,0,2,,ph5 po
45438.jpg,4,2,0,pl40 pl30,
45657.jpg,1,1,1,p23,p10
45703.jpg,3,2,0,po p11,
45777.jpg,5,1,1,pl80,pl40
45901.jpg,1,1,1,pm55,p26
45939.jpg,4,1,1,po,wo
46180.jpg,2,1,1,pl60,ip
46278.jpg,9,0,2,,pl100 il80
46346.jpg,4,2,0,pne p26,
46459.jpg,2,0,2,,pn pl40
46506.jpg,2,0,2,,w59 w57
46960.jpg,7,1,1,pl80,pl40
46989.jpg,1,1,1,ph4.5,ph5
46994.jpg,1,1,1,pm20,pl40
47057.jpg,2,0,2,,pn p11
4809.jpg,5,1,1,pl60,p11
48123.jpg,2,1,1,p11,pl40
48126.jpg,1,1,1,pl60,pl40
48184.jpg,3,1,1,pl80,pl40
48397.jpg,4,2,0,ph4 i4,
4849.jpg,5,1,1,pl60,p26
48536.jpg,1,0,2,,pg pl40
48586.jpg,2,0,2,,ip pl50
4863.jpg,5,2,0,pl80 p11,
48887.jpg,2,1,1,pl70,pl60
48965.jpg,8,2,0,pl80 po,
49063.jpg,1,0,2,,pn pn
4918.jpg,9,0,2,,io pn
49372.jpg,2,1,1,p19,p5
49474.jpg,3,0,2,,pl40 pl60
49490.jpg,3,2,0,pn p3,
49687.jpg,1,0,2,,pl30 pl50
4969.jpg,1,1,1,p10,p26
50075.jpg,2,0,2,,w57 w13
505.jpg,7,0,2,,io po
50549.jpg,2,1,1,wo,w32
51142.jpg,2,1,1,p11,po
51366.jpg,1,1,1,p12,pn
51519.jpg,1,1,1,pl100,pl80
51886.jpg,4,1,1,pl50,i5
5201.jpg,1,0,2,,pn pl80
52335.jpg,6,1,1,pm55,p11
52491.jpg,3,1,1,pl80,pl60
52497.jpg,5,1,1,po,pn
52667.jpg,9,0,2,,pl100 il60
52682.jpg,3,0,2,,pne i4
5282.jpg,6,0,2,,pn p10
5288.jpg,3,1,1,p6,po
52893.jpg,2,1,1,pg,ip
53149.jpg,1,0,2,,pl80 w59
53468.jpg,3,2,0,po p11,
53526.jpg,2,0,2,,pne i5
53800.jpg,1,0,2,,io pg
53912.jpg,3,1,1,w55,wo
53944.jpg,7,1,1,il80,il100
54036.jpg,5,1,1,pl80,pl60
54085.jpg,2,1,1,pl30,pl60
54267.jpg,3,0,2,,pm30 po
54525.jpg,6,1,1,il60,il100
54528.jpg,2,0,2,,wo pl60
5468.jpg,1,0,2,,p10 io
54749.jpg,4,0,2,,i5 pl40
54874.jpg,3,0,2,,p12 p11
54934.jpg,1,1,1,pl60,pl40
54944.jpg,1,0,2,,w59 p5
55385.jpg,2,1,1,pl60,pl40
55540.jpg,6,2,0,pl60 pm20,
55869.jpg,5,1,1,pl50,pl40
55943.jpg,5,1,1,p11,pl50
56214.jpg,1,1,1,pl80,pl50
56248.jpg,1,1,1,pm55,pl50
56360.jpg,7,1,1,i2,io
56477.jpg,2,1,1,pl5,pne
56649.jpg,4,1,1,pl50,pl40
5672.jpg,2,0,2,,pl40 i5
56737.jpg,7,1,1,pl80,pl40
56763.jpg,5,2,0,i5 pl50,
5682.jpg,2,0,2,,io pl50
57018.jpg,5,1,1,pl40,pl50
5715.jpg,2,0,2,,il60 pl100
57363.jpg,1,1,1,pl80,pl60
57689.jpg,5,1,1,pl50,pn
58008.jpg,3,2,0,p11 pn,
58029.jpg,2,1,1,pl30,w13
58223.jpg,5,1,1,pl50,pl40
58247.jpg,5,1,1,pl50,pl40
58250.jpg,3,0,2,,pn p11
58604.jpg,2,1,1,p23,p5
58781.jpg,4,0,2,,pl70 pm20
58828.jpg,2,0,2,,pn pl60
58835.jpg,3,0,2,,ph5 p6
58878.jpg,1,1,1,w32,wo
59240.jpg,1,1,1,pl60,pl80
59252.jpg,4,0,2,,ph5 p19
59301.jpg,4,0,2,,pn pn
5937.jpg,3,0,2,,pl40 i5
59471.jpg,2,0,2,,pn pn
59515.jpg,4,1,1,p12,po
59623.jpg,1,1,1,w32,wo
59798.jpg,5,1,1,pl50,pl40
5992.jpg,4,1,1,i2,io
59978.jpg,2,1,1,pl70,io
59980.jpg,2,1,1,po,pl60
6008.jpg,2,1,1,po,pl60
60209.jpg,2,1,1,pl80,pl30
60251.jpg,3,1,1,pl50,pl80
60380.jpg,3,1,1,pl60,pl80
60522.jpg,5,2,0,w55 pl30,
60637.jpg,4,1,1,wo,w13
60737.jpg,1,0,2,,pn pl80
60928.jpg,3,2,0,p26 p10,
61747.jpg,1,1,1,pl30,pl60
61770.jpg,4,1,1,pl50,pl40
61811.jpg,3,1,1,p11,po
61956.jpg,3,2,0,w55 pl30,
62019.jpg,1,1,1,pl20,pl70
62077.jpg,1,0,2,,p11 pl5
62157.jpg,2,2,0,pl5 ph5,
62161.jpg,4,2,0,ph5 pne,
62167.jpg,1,0,2,,pne io
62236.jpg,1,0,2,,i5 i2
62430.jpg,2,1,1,pl50,pl30
62540.jpg,1,1,1,pm20,pl20
62596.jpg,4,1,1,pne,pne
62713.jpg,3,2,0,wo po,
62818.jpg,4,0,2,,po po
63084.jpg,1,0,2,,w59 w59
63120.jpg,3,0,2,,pl40 pl40
6352.jpg,4,1,1,pl50,i5
63555.jpg,1,1,1,pl100,pl40
63702.jpg,5,1,1,pl70,pl60
63994.jpg,1,0,2,,wo wo
64143.jpg,3,1,1,ip,pl50
64412.jpg,2,0,2,,ip pl70
64423.jpg,1,1,1,w32,wo
6444.jpg,2,1,1,w13,w57
64497.jpg,2,1,1,io,i4
64554.jpg,2,2,0,po wo,
64719.jpg,1,1,1,pl50,w59
65016.jpg,3,0,2,,p10 w57
65142.jpg,7,1,1,pl50,i4
65419.jpg,2,1,1,pl60,pl40
65423.jpg,2,0,2,,i2 pg
65428.jpg,2,1,1,pm30,pl40
65708.jpg,2,0,2,,pn pl30
65749.jpg,3,1,1,pl80,pl40
65857.jpg,2,1,1,pl60,pl40
662.jpg,5,1,1,pl50,pl40
66398.jpg,2,0,2,,w59 w59
66884.jpg,1,1,1,pl30,pl100
67033.jpg,5,1,1,pl50,pl40
67262.jpg,3,1,1,pl40,pl5
67396.jpg,2,0,2,,i5 pne
6764.jpg,2,0,2,,pl80 pl5
67682.jpg,1,1,1,po,p10
67754.jpg,6,0,2,,p11 pl40
67855.jpg,1,1,1,w55,w57
67987.jpg,2,0,2,,pl5 i2
68353.jpg,5,0,2,,i2 pl60
68462.jpg,1,1,1,pl40,pm30
68714.jpg,4,0,2,,pne pne
6875.jpg,1,1,1,p23,po
68775.jpg,2,1,1,pl30,po
6892.jpg,3,1,1,po,ph4
69096.jpg,1,1,1,p26,p10
69321.jpg,1,1,1,i4,w59
69413.jpg,11,1,1,pl20,pl5
69482.jpg,2,1,1,pl50,pl5
69609.jpg,2,2,0,pl80 pl60,
69658.jpg,5,1,1,pl80,pl40
69725.jpg,1,1,1,p6,po
69963.jpg,1,1,1,p10,p23
701.jpg,1,1,1,pl60,pl80
70439.jpg,1,0,2,,w59 w59
70707.jpg,3,1,1,pl80,pl60
71017.jpg,3,1,1,w57,pl5
71208.jpg,7,1,1,pl80,pl50
71290.jpg,3,0,2,,pl40 p11
71412.jpg,3,1,1,pl60,pl40
71839.jpg,1,0,2,,pl70 pm20
72078.jpg,8,1,1,pl80,pl40
72108.jpg,2,1,1,pl20,pl40
72200.jpg,6,2,0,pl70 pl50,
723.jpg,1,0,2,,ph4.5 ph4
72694.jpg,8,1,1,ph4,pl100
72737.jpg,5,0,2,,p12 p10
72895.jpg,5,1,1,pl60,p26
72960.jpg,5,1,1,p11,pl50
7331.jpg,4,0,2,,po po
73390.jpg,1,0,2,,pn p11
74148.jpg,2,0,2,,io p3
74243.jpg,3,1,1,i4,ph4.5
74480.jpg,1,1,1,p27,po
74806.jpg,1,0,2,,p5 p5
74872.jpg,1,1,1,pl50,pl60
75227.jpg,1,0,2,,pg wo
75448.jpg,1,0,2,,i5 pl60
75494.jpg,3,1,1,pl30,pl40
75547.jpg,4,1,1,i5,pm20
75564.jpg,2,0,2,,pl30 pl60
75607.jpg,1,1,1,p12,p11
7622.jpg,4,2,0,po po,
76329.jpg,3,1,1,ph4,po
76568.jpg,3,2,0,p5 i5,
76619.jpg,1,0,2,,wo w32
76675.jpg,2,0,2,,io io
76858.jpg,1,0,2,,pl20 pl60
77344.jpg,1,1,1,pr40,pl40
77475.jpg,1,0,2,,io pl5
77713.jpg,3,2,0,pl40 pl40,
77910.jpg,2,2,0,w13 pl50,
77988.jpg,6,1,1,pl30,pne
78061.jpg,3,1,1,pl60,io
78307.jpg,1,0,2,,w59 w59
78340.jpg,2,0,2,,w59 w59
78472.jpg,5,1,1,p11,p11
78552.jpg,2,1,1,pl60,pl40
78624.jpg,4,0,2,,i2 pn
78923.jpg,1,0,2,,wo w32
79332.jpg,2,2,0,pl60 w57,
79441.jpg,4,1,1,pl60,pl40
79487.jpg,3,2,0,pl60 pm55,
79559.jpg,4,1,1,pne,p5
80124.jpg,3,2,0,ph4.5 ph4.5,
80188.jpg,2,1,1,p26,p10
80239.jpg,2,0,2,,pl5 pl5
80391.jpg,2,1,1,p23,p19
80394.jpg,3,0,2,,p26 pl80
80416.jpg,2,1,1,pl30,pl80
80622.jpg,4,0,2,,p26 po
80709.jpg,9,0,2,,pl80 pl100
80910.jpg,4,2,0,pl50 p11,
81148.jpg,2,0,2,,pl5 p11
81302.jpg,1,1,1,p19,p5
81412.jpg,3,1,1,po,ph5
81595.jpg,3,1,1,i2,io
83172.jpg,2,0,2,,p11 pl60
83194.jpg,4,1,1,pm55,ph4.5
83195.jpg,7,1,1,i4,i2
83470.jpg,1,0,2,,io pl5
83499.jpg,1,0,2,,p10 po
8371.jpg,5,1,1,pl40,i5
83918.jpg,1,1,1,po,po
83944.jpg,5,2,0,pn p11,
83985.jpg,2,1,1,p5,w59
84003.jpg,2,0,2,,pl100 pl40
84252.jpg,6,1,1,i5,i5
84269.jpg,1,1,1,pl30,pl5
84293.jpg,1,0,2,,pn w59
84327.jpg,5,1,1,pl50,pl40
84332.jpg,2,0,2,,w59 w57
84476.jpg,3,0,2,,p11 pl80
8458.jpg,2,1,1,po,p11
84669.jpg,2,1,1,pl60,pm30
84673.jpg,2,0,2,,p23 io
84783.jpg,6,1,1,il80,il60
84957.jpg,2,1,1,pl50,pl40
85076.jpg,5,0,2,,p27 p26
85211.jpg,2,0,2,,io io
85278.jpg,1,1,1,pl5,pm55
8557.jpg,2,1,1,pl40,pn
85685.jpg,2,1,1,pm20,pl40
85881.jpg,3,1,1,io,pl60
86042.jpg,1,0,2,,p26 po
86090.jpg,1,1,1,pl60,pl40
86245.jpg,9,0,2,,io pl70
86506.jpg,5,1,1,pl50,pl30
86532.jpg,3,0,2,,pl40 ip
86596.jpg,5,0,2,,pl50 pn
8661.jpg,4,1,1,pl60,pl80
86665.jpg,5,0,2,,pn pl40
86812.jpg,4,0,2,,po po
87701.jpg,1,1,1,i2,io
87800.jpg,1,0,2,,pg w59
87862.jpg,5,1,1,p11,pl50
88140.jpg,2,1,1,pl80,pl40
88853.jpg,3,1,1,pm30,pl70
89003.jpg,1,1,1,p11,pm30
89092.jpg,5,1,1,pl80,pl40
89137.jpg,2,1,1,pl60,pl50
89367.jpg,1,0,2,,io io
8939.jpg,1,1,1,p23,p10
8961.jpg,2,1,1,pne,i5
89691.jpg,1,1,1,w32,wo
89739.jpg,5,2,0,p10 p5,
89759.jpg,2,1,1,po,pl50
89812.jpg,1,1,1,p23,po
90209.jpg,5,1,1,p11,pl60
90521.jpg,1,1,1,pl80,pl60
91207.jpg,6,1,1,pl50,pne
91397.jpg,1,1,1,p19,po
91465.jpg,1,1,1,pl120,pl60
92152.jpg,4,0,2,,io pl60
9231.jpg,2,0,2,,pne pne
92382.jpg,5,1,1,pl30,pl40
92456.jpg,2,1,1,i2,io
92478.jpg,4,1,1,pl20,pl50
92673.jpg,2,1,1,pl60,pl30
93127.jpg,2,0,2,,p11 pn
93709.jpg,1,0,2,,w32 wo
93888.jpg,1,1,1,pl60,pl30
9399.jpg,2,2,0,w13 pl20,
94015.jpg,1,0,2,,p26 ph5
94206.jpg,2,1,1,pl20,pl40
94481.jpg,2,1,1,po,p26
94620.jpg,2,0,2,,io io
94686.jpg,1,1,1,pl20,pl40
94688.jpg,3,1,1,i2,io
94811.jpg,1,1,1,p3,p26
94893.jpg,4,1,1,w13,w57
94910.jpg,3,1,1,ip,i5
94932.jpg,5,2,0,i5 ph4,
94958.jpg,2,1,1,pl50,pn
95018.jpg,5,1,1,pl50,pl40
95377.jpg,2,1,1,p3,p11
95500.jpg,7,1,1,pl80,pl50
95658.jpg,1,1,1,io,i2
95780.jpg,1,1,1,pl100,pl80
96011.jpg,1,0,2,,w57 w13
96069.jpg,7,1,1,pl50,pl40
96188.jpg,2,1,1,pl30,pl80
96461.jpg,2,1,1,pne,pl30
96667.jpg,1,0,2,,pl5 p11
96754.jpg,1,1,1,pn,w59
96802.jpg,2,1,1,pl30,pl80
97222.jpg,2,0,2,,i2 pn
97426.jpg,7,1,1,p11,i4
97776.jpg,3,0,2,,io ph4.5
97811.jpg,3,2,0,pl50 pn,
97889.jpg,2,1,1,p10,p26
98237.jpg,1,0,2,,i5 io
98318.jpg,3,2,0,w55 pl40,
9852.jpg,1,1,1,p23,w59
98551.jpg,2,0,2,,pn i2
98785.jpg,3,1,1,po,p11
9967.jpg,3,0,2,,p5 i5
1031.jpg,5,0,1,,i5
10426.jpg,2,0,1,,pne
10434.jpg,1,0,1,,pl60
10446.jpg,3,0,1,,io
10496.jpg,4,0,1,,i4
10502.jpg,5,0,1,,pl60
10705.jpg,6,0,1,,il100
10820.jpg,2,0,1,,pl30
10939.jpg,1,0,1,,pl80
10956.jpg,1,0,1,,pg
1113.jpg,1,0,1,,pl40
11251.jpg,1,0,1,,w59
11403.jpg,1,0,1,,w59
1191.jpg,3,0,1,,pl30
12004.jpg,3,0,1,,pl60
12198.jpg,1,0,1,,pn
12339.jpg,3,1,0,i5,
12420.jpg,2,0,1,,pl80
12503.jpg,1,0,1,,pl60
12529.jpg,5,0,1,,pl60
12883.jpg,2,0,1,,w32
12957.jpg,1,1,0,po,
13012.jpg,1,1,0,w32,
13083.jpg,3,1,0,w55,
13098.jpg,3,1,0,pn,
13101.jpg,1,0,1,,ph4
13119.jpg,1,1,0,pm20,
13274.jpg,4,0,1,,il60
13627.jpg,1,1,0,pl20,
13701.jpg,2,0,1,,i5
138.jpg,2,1,0,pl30,
13802.jpg,5,1,0,i2,
13917.jpg,1,1,0,pl20,
13931.jpg,1,1,0,io,
13942.jpg,4,0,1,,pr40
13987.jpg,1,0,1,,wo
14012.jpg,1,1,0,ph4.5,
14092.jpg,4,0,1,,pn
14154.jpg,1,0,1,,p11
14391.jpg,1,0,1,,p26
14614.jpg,2,1,0,w13,
14966.jpg,1,0,1,,pl20
15023.jpg,1,1,0,pl40,
1510.jpg,1,0,1,,pl50
15159.jpg,1,1,0,pl5,
15497.jpg,2,0,1,,wo
15520.jpg,4,0,1,,pl40
15570.jpg,1,0,1,,p5
15642.jpg,1,0,1,,p23
1569.jpg,2,0,1,,pl80
15905.jpg,1,0,1,,i5
16184.jpg,2,0,1,,pn
16219.jpg,2,1,0,p10,
16379.jpg,2,1,0,ph4,
16484.jpg,1,1,0,po,
16489.jpg,1,1,0,p10,
16686.jpg,5,1,0,pl50,
16813.jpg,1,0,1,,io
16840.jpg,3,0,1,,p5
16842.jpg,2,1,0,w55,
17256.jpg,1,1,0,wo,
1731.jpg,3,0,1,,i5
17370.jpg,3,0,1,,io
17389.jpg,2,1,0,ip,
1747.jpg,4,1,0,ip,
17589.jpg,1,0,1,,i5
17638.jpg,1,0,1,,io
17806.jpg,1,0,1,,io
17897.jpg,1,1,0,wo,
1792.jpg,3,1,0,po,
17924.jpg,2,0,1,,pn
17947.jpg,1,0,1,,w57
17968.jpg,4,0,1,,io
17971.jpg,1,0,1,,pn
18096.jpg,2,0,1,,pl60
18130.jpg,2,1,0,w32,
18192.jpg,1,0,1,,po
18197.jpg,1,0,1,,wo
18319.jpg,1,1,0,pl30,
18390.jpg,3,0,1,,pg
18397.jpg,4,1,0,w55,
18408.jpg,3,1,0,pl50,
18605.jpg,8,1,0,p11,
18656.jpg,2,0,1,,pl5
1883.jpg,4,1,0,pl50,
18889.jpg,1,0,1,,wo
1905.jpg,2,0,1,,pl30
19082.jpg,1,0,1,,ph4
19325.jpg,4,1,0,pl5,
1935.jpg,3,0,1,,p11
19485.jpg,2,0,1,,pl60
19691.jpg,2,0,1,,pl30
19711.jpg,1,1,0,pl50,
19713.jpg,8,0,1,,io
19862.jpg,2,1,0,pl60,
19871.jpg,2,0,1,,pl80
2.jpg,6,1,0,il80,
2007.jpg,2,0,1,,pne
20566.jpg,5,1,0,pl30,
20600.jpg,3,1,0,pl50,
20774.jpg,4,0,1,,wo
20942.jpg,5,0,1,,pl40
20968.jpg,5,1,0,po,
20974.jpg,3,0,1,,pl30
20986.jpg,7,0,1,,io
21094.jpg,1,0,1,,wo
21290.jpg,7,0,1,,ph5
21294.jpg,4,0,1,,pl80
21427.jpg,3,1,0,w55,
21588.jpg,2,0,1,,pne
21683.jpg,1,0,1,,pl60
21723.jpg,1,0,1,,p11
21774.jpg,2,1,0,p10,
21919.jpg,3,0,1,,i5
22006.jpg,1,0,1,,w55
22037.jpg,2,0,1,,pn
22075.jpg,2,1,0,w59,
22183.jpg,5,0,1,,pl60
22212.jpg,2,0,1,,pm30
22312.jpg,1,1,0,w55,
22599.jpg,8,1,0,pl40,
22682.jpg,1,0,1,,w59
22779.jpg,1,1,0,p5,
2298.jpg,5,0,1,,io
23088.jpg,5,1,0,w32,
23140.jpg,6,1,0,po,
23204.jpg,2,0,1,,pl30
23926.jpg,1,1,0,po,
24196.jpg,1,0,1,,pl60
24328.jpg,1,1,0,p5,
2443.jpg,4,0,1,,po
24448.jpg,4,1,0,pr40,
24658.jpg,1,0,1,,p5
24661.jpg,1,1,0,w57,
25058.jpg,3,0,1,,pl50
25200.jpg,1,1,0,w57,
25296.jpg,2,1,0,pl80,
25451.jpg,1,0,1,,pl50
25555.jpg,1,0,1,,ph5
25588.jpg,1,1,0,p10,
25647.jpg,4,0,1,,po
25815.jpg,1,0,1,,pl5
26151.jpg,1,0,1,,p5
26176.jpg,1,1,0,ip,
2624.jpg,1,0,1,,w13
26325.jpg,4,0,1,,pl40
26628.jpg,3,0,1,,io
26682.jpg,1,0,1,,pn
26789.jpg,1,0,1,,pn
26987.jpg,1,0,1,,pl60
27083.jpg,2,1,0,p23,
2717.jpg,1,0,1,,pl5
27237.jpg,4,0,1,,i5
27273.jpg,1,0,1,,pl80
2736.jpg,3,1,0,ip,
27510.jpg,1,0,1,,pl80
27645.jpg,3,1,0,pl80,
2777.jpg,1,1,0,po,
27865.jpg,4,1,0,p11,
27983.jpg,2,0,1,,io
28009.jpg,3,1,0,pl80,
28154.jpg,2,0,1,,po
28172.jpg,1,1,0,pm20,
28390.jpg,1,0,1,,po
28408.jpg,1,0,1,,pl60
28425.jpg,2,1,0,pm20,
28988.jpg,1,1,0,pl40,
29002.jpg,5,1,0,p11,
29008.jpg,3,1,0,pl50,
29033.jpg,2,0,1,,p27
29318.jpg,1,0,1,,p27
29439.jpg,1,1,0,w32,
29618.jpg,6,1,0,pl5,
29714.jpg,2,0,1,,w59
29849.jpg,5,1,0,i5,
29875.jpg,3,1,0,pl40,
29886.jpg,1,0,1,,p11
29908.jpg,1,1,0,pl5,
29926.jpg,1,0,1,,po
29998.jpg,8,0,1,,il80
3028.jpg,2,0,1,,pg
30363.jpg,1,0,1,,pr40
30690.jpg,1,1,0,po,
30790.jpg,1,0,1,,pl60
31005.jpg,5,1,0,p11,
31077.jpg,1,0,1,,p10
31164.jpg,1,0,1,,p26
31445.jpg,2,0,1,,i5
31516.jpg,5,0,1,,pn
31641.jpg,2,1,0,pl30,
31643.jpg,1,0,1,,pn
31752.jpg,2,1,0,pne,
31826.jpg,1,0,1,,pl60
321.jpg,3,0,1,,io
32356.jpg,5,1,0,pl50,
3236.jpg,5,0,1,,ph5
32717.jpg,1,0,1,,ph4.5
32920.jpg,5,1,0,w55,
3299.jpg,3,0,1,,io
33075.jpg,2,0,1,,i5
33162.jpg,1,0,1,,pn
33182.jpg,2,0,1,,pl40
33187.jpg,2,1,0,pl40,
33237.jpg,1,0,1,,pl30
33351.jpg,1,0,1,,p19
33714.jpg,1,1,0,p10,
33807.jpg,1,1,0,pm55,
33902.jpg,2,0,1,,w32
33913.jpg,1,0,1,,p5
33967.jpg,3,0,1,,io
34063.jpg,1,0,1,,pne
34126.jpg,1,0,1,,pn
34363.jpg,1,0,1,,p5
34501.jpg,1,1,0,w59,
3452.jpg,2,0,1,,w57
34525.jpg,1,0,1,,io
34623.jpg,2,0,1,,pl40
34636.jpg,1,1,0,io,
3465.jpg,1,0,1,,io
34771.jpg,5,0,1,,po
34778.jpg,2,1,0,pl30,
34962.jpg,2,0,1,,i2
34974.jpg,1,0,1,,w57
35034.jpg,2,1,0,p3,
35161.jpg,9,0,1,,il60
35205.jpg,1,0,1,,pr40
35404.jpg,1,0,1,,io
35408.jpg,3,0,1,,pl60
35419.jpg,2,1,0,p23,
35655.jpg,5,0,1,,p26
35693.jpg,1,0,1,,po
35743.jpg,5,0,1,,pn
35881.jpg,1,0,1,,po
3589.jpg,2,1,0,pn,
36107.jpg,2,0,1,,w57
36140.jpg,1,1,0,wo,
36452.jpg,1,0,1,,pl80
36466.jpg,2,1,0,p23,
36546.jpg,2,0,1,,pl40
36550.jpg,5,1,0,pl50,
36686.jpg,2,1,0,pl40,
36756.jpg,3,0,1,,w55
36836.jpg,1,0,1,,po
36902.jpg,2,0,1,,pl80
3691.jpg,2,0,1,,io
36966.jpg,5,0,1,,ip
37038.jpg,1,0,1,,pl20
37104.jpg,6,1,0,pl60,
37124.jpg,3,0,1,,i5
37468.jpg,1,0,1,,po
37500.jpg,2,0,1,,w55
37771.jpg,1,1,0,w57,
37836.jpg,1,0,1,,ph4.5
37862.jpg,1,0,1,,pl30
38022.jpg,1,0,1,,wo
38030.jpg,5,0,1,,p11
38052.jpg,1,1,0,w32,
38108.jpg,2,0,1,,ph5
38175.jpg,4,0,1,,pl80
38273.jpg,3,1,0,p11,
38371.jpg,1,1,0,w57,
38486.jpg,2,0,1,,pn
38711.jpg,2,1,0,pl80,
38723.jpg,1,0,1,,pl40
3913.jpg,1,1,0,pg,
39375.jpg,1,1,0,pl50,
39470.jpg,1,0,1,,pl30
39475.jpg,3,1,0,w13,
39565.jpg,4,1,0,w55,
39663.jpg,1,0,1,,w57
39681.jpg,1,0,1,,pl80
39839.jpg,2,0,1,,p23
40087.jpg,2,0,1,,p10
40320.jpg,1,0,1,,w59
40890.jpg,2,0,1,,pn
40935.jpg,1,0,1,,w57
41052.jpg,5,0,1,,pl60
41163.jpg,1,0,1,,pl80
41368.jpg,2,1,0,pm55,
41415.jpg,4,0,1,,wo
41460.jpg,4,0,1,,ph4
41523.jpg,1,1,0,pr40,
41585.jpg,1,1,0,p5,
41626.jpg,5,1,0,p11,
41747.jpg,2,1,0,po,
41771.jpg,1,0,1,,po
42108.jpg,1,0,1,,i5
42260.jpg,1,1,0,pne,
